"station","sample_date","temp","salinity","dox","ph","pct_light","density","depth"
"Station.1","2012-11-08",16.81,33.42,8.07,8.2,90.32,24.346,16
"Station.1","2012-04-19",10.52,33.805,3.16,7.73,88.14,25.93,18
"Station.1","2010-01-06",15.11,33.415,7.22,8.13,88.97,24.725,32
"Station.1","2014-02-06",14,33.43,7.31,NA,88.01,24.974,41
"Station.1","2011-01-05",14.2,33.286,7.91,8.16,86.17,24.822,3
"Station.1","2015-02-03",13.92,33.382,6.45,8.05,87.68,24.953,51
"Station.1","2012-04-19",10.6,33.783,3.32,7.75,87.42,25.899,16
"Station.1","2011-10-04",11.73,33.371,6.14,7.94,89.16,25.374,48
"Station.1","2011-03-03",13.98,33.277,8.82,8.22,87.51,24.86,7
"Station.1","2014-02-06",13.6,33.428,6.98,NA,88.12,25.054,45
